state,huc12,name,area_total_ha,area_cropland_ha,area_perennial_ha,pct_cropland,pct_perennial
"AL,FL,GA",031300040801,Irwin Mill Creek-Chattahoochee River,13807.6,6971.0,5171.3,50.5,37.5
"AL,GA",031300040504,Baker Creek-Chattahoochee River,5267.1,1809.6,2750.7,34.4,52.2
"AL,GA",031300040709,Bryans Creek,10394.0,3372.9,6105.7,32.5,58.7
"AL,GA",031300040710,Town of Jakin-Chattahoochee River,3902.5,1598.4,1539.5,41.0,39.4
"AL,MS",031601060504,Town of Dinsmore-Bogue Chitto,15217.4,8391.5,2276.1,55.1,15.0
"AL,MS",031601080903,Lower Woodward Creek,8969.7,2527.4,3179.4,28.2,35.4
"AL,TN",060300020301,State Rock Branch-Flint River,18374.6,5195.3,3874.9,28.3,21.1
"AL,TN",060300020302,West Fork Flint River,10348.5,3281.2,1885.2,31.7,18.2
"AL,TN",060300020304,Upper Brier Fork Flint River,9931.0,3130.3,2055.6,31.5,20.7
"AL,TN",060300020701,Upper Limestone Creek,17050.7,5180.2,3455.6,30.4,20.3
"AL,TN",060300030601,Upper Beans Creek,12620.1,3611.2,4723.6,28.6,37.4
AR,080201000301,Deep Bayou,7962.0,6767.6,593.5,85.0,7.5
AR,080202030601,Sugar Creek-Big Slough Ditch,10548.8,4753.8,1760.8,45.1,16.7
AR,080202030602,Payne Creek-Big Slough Ditch,9803.2,7706.2,1119.6,78.6,11.4
AR,080202030603,Grassy Slough,14553.4,13885.3,40.2,95.4,0.3
AR,080202030605,Post Oak Creek-Big Slough Ditch,9981.7,5528.7,1421.3,55.4,14.2
AR,080202030606,Hurricane Ditch-Big Slough Ditch,12376.4,6728.9,2452.5,54.4,19.8
AR,080202030607,Gate Ditch-Big Slough Ditch,9611.5,8839.3,318.9,92.0,3.3
AR,080202030701,Henderson Creek,10477.0,5515.6,1940.3,52.6,18.5
AR,080202030704,Giles Island-Locust Creek Ditch,9267.2,6617.7,549.4,71.4,5.9
AR,080202030902,Saint Francis Bay Floodway-Saint Francis River,20013.5,5899.5,12952.6,29.5,64.7
AR,080202030903,Cross County Ditch,4578.2,3603.5,693.6,78.7,15.2
AR,080202031001,Big Bay Ditch,8590.8,6651.8,619.5,77.4,7.2
AR,080202031002,Thompson Creek Ditch,8879.1,5453.0,1366.3,61.4,15.4
AR,080202031003,Purcell Slough,11834.0,10076.9,670.3,85.2,5.7
AR,080202031004,Ditch Number 103,8924.2,8199.7,83.4,91.9,0.9
AR,080202031005,Gum Slough Ditch,12344.8,9869.0,253.4,79.9,2.1
AR,080202031006,Upper Ditch Number 10,8576.3,7970.4,72.0,92.9,0.8
AR,080202031007,Headwaters Little Bay Ditch,8870.4,3636.2,1176.5,41.0,13.3
AR,080202031008,Outlet Little Bay Ditch,7741.5,4626.7,236.2,59.8,3.1
AR,080202031009,Middle Ditch Number 10,11947.0,10789.2,46.3,90.3,0.4
AR,080202031010,Lower Ditch Number 10,11124.0,10668.8,64.9,95.9,0.6
AR,080202031011,Headwaters Ditch Number 1,12393.2,3724.6,3162.2,30.1,25.5
AR,080202031012,Outlet Ditch Number 1,8729.7,4159.8,2719.1,47.7,31.1
AR,080202031013,Straight Slough-Saint Francis Bay,8633.3,3800.3,3185.6,44.0,36.9
AR,080202031101,Ditch Number 4,5974.6,5415.9,347.5,90.6,5.8
AR,080202031102,Cross Bayou,5293.3,4828.9,212.2,91.2,4.0
AR,080202031103,Frenchmans Bayou,13950.7,12395.0,778.1,88.8,5.6
AR,080202031104,Bellhammer Slough,5824.1,4196.1,1290.3,72.0,22.2
AR,080202031105,Dead Timber Lake-Big Creek,14191.8,12631.0,600.6,89.0,4.2
AR,080202031106,Deer Bayou-Big Creek,7520.6,6812.8,504.2,90.6,6.7
AR,080202031201,Headwaters Ditch Number 31,13972.4,12564.4,49.9,89.9,0.4
AR,080202031202,Outlet Ditch Number 31,6424.4,6225.9,12.0,96.9,0.2
AR,080202031203,Ditch Number 6,12220.4,11310.7,29.7,92.6,0.2
AR,080202031204,National Ditch Number 6,9433.4,8884.2,183.6,94.2,1.9
AR,080202031205,Upper Ditch Number 40,9949.0,9309.4,9.4,93.6,0.1
AR,080202031206,Middle Ditch Number 40,11304.3,9811.2,83.2,86.8,0.7
AR,080202031207,Ditch Number 9,11935.4,10558.6,104.9,88.5,0.9
AR,080202031208,Lower Ditch Number 40,9024.0,8627.9,43.6,95.6,0.5
AR,080202031209,Ditch Number 53-Tyronza River,8254.4,7767.0,168.1,94.1,2.0
AR,080202031210,Ditch Number 23-Tyronza River,8506.2,7835.3,238.5,92.1,2.8
AR,080202031211,Mack Bayou-Tyronza River,9690.6,8945.0,425.4,92.3,4.4
AR,080202031212,Gibson Bayou-Tyronza River,16596.4,14763.1,1084.4,89.0,6.5
AR,080202031301,Ditch Number 1-Saint Francis River,15160.6,13682.4,494.0,90.2,3.3
AR,080202031302,Fortune Slough-Saint Francis River,11071.4,10254.9,313.3,92.6,2.8
AR,080202031303,Barnes Lake-Saint Francis River,12474.4,11007.3,833.9,88.2,6.7
AR,080202031304,Copeland Slough,10422.5,9850.7,315.3,94.5,3.0
AR,080202031305,Elbow Slough-Saint Francis River,12069.8,10215.5,1041.1,84.6,8.6
AR,080202031401,Ditch Number 9-Fifteenmile Bayou,14541.8,12602.2,912.2,86.7,6.3
AR,080202031402,Headwaters Tenmile Bayou,7559.6,5878.3,600.2,77.8,7.9
AR,080202031403,Outlet Tenmile Bayou,8345.0,5056.4,521.9,60.6,6.3
AR,080202031404,Alligator Bayou-Fifteenmile Bayou,23157.4,18620.5,1010.9,80.4,4.4
AR,080202031405,Lost Bayou-Fifteenmile Bayou,6724.6,5540.5,766.9,82.4,11.4
AR,080202031406,Caruthers Bayou-Fifteenmile Bayou,19786.3,17488.9,1603.6,88.4,8.1
AR,080202031501,Upper Blackfish Bayou,14343.8,12942.9,759.5,90.2,5.3
AR,080202031502,North Blackfish Bayou,11947.8,10577.8,742.8,88.5,6.2
AR,080202031503,Middle Blackfish Bayou,14402.6,12755.5,913.1,88.6,6.3
AR,080202031504,Horseshoe Lake,5961.4,3131.9,1447.0,52.5,24.3
AR,080202031505,Frenchman Bayou,15061.0,12353.6,1744.2,82.0,11.6
AR,080202031506,Lower Blackfish Bayou,11143.6,9335.5,1475.7,83.8,13.2
AR,080202031602,Horseshoe Lake-Saint Francis River,7222.0,4242.0,1809.2,58.7,25.1
AR,080202031603,Cup Bayou-Saint Francis River,10782.8,7797.6,2191.0,72.3,20.3
AR,080202031604,Cow Bayou-Saint Francis River,11409.8,8688.7,2004.6,76.2,17.6
AR,080202031605,Alligator Bayou,6869.1,5611.8,908.7,81.7,13.2
AR,080202031606,Raft Bayou-Saint Francis River,14450.3,11140.8,2368.8,77.1,16.4
AR,080202031607,Saint Francis Floodway,14926.8,7016.7,6155.5,47.0,41.2
